Variable,Word,Count
Opposed,criminals,62
Opposed,favour,62
Opposed,done,62
Opposed,pollution,62
Opposed,added,62
Opposed,anywhere,62
Opposed,projects,61
Opposed,illegal,61
Opposed,control,61
Opposed,neighborhood,61
Opposed,rely,61
Opposed,projected,61
Opposed,shouldn,61
Opposed,vision,60
Opposed,theatres,60
Opposed,laundering,60
Opposed,leading,60
Opposed,scale,60
Opposed,sustainable,60
Opposed,therefore,59
Opposed,societal,59
Opposed,plan,59
Opposed,next,59
Opposed,offset,59
Opposed,interest,59
Opposed,generally,59
Opposed,lands,59
Opposed,everyone,59
Opposed,project,58
Opposed,creative,58
Opposed,currently,58
Opposed,ever,58
Opposed,adds,58
Opposed,weak,58
Opposed,stay,58
Opposed,highly,57
Opposed,gardiner,57
Opposed,orillia,57
Opposed,peoples,57
Opposed,inappropriate,57
Opposed,unnecessary,57
Opposed,habits,57
Opposed,coming,57
Opposed,feed,57
Opposed,getting,57
Opposed,move,56
Opposed,supporting,56
Opposed,usually,56
Opposed,year,56
Opposed,since,56
Opposed,attracting,56
Opposed,pockets,56
Opposed,must,56
Opposed,looking,55
Opposed,prefer,55
Opposed,regressive,55
Opposed,play,55
Opposed,loan,55
Opposed,enjoy,55
Opposed,behaviours,55
Opposed,inside,54
Opposed,investment,54
Opposed,research,54
Opposed,involved,54
Opposed,terms,54
Opposed,using,54
Opposed,poorer,54
Opposed,adversely,54
Opposed,dont,54
Opposed,foreign,54
Opposed,temptation,54
Opposed,quick,54
Opposed,bringing,53
Opposed,developers,53
Opposed,stress,53
Opposed,breakdown,53
Opposed,shows,53
Opposed,trying,53
Opposed,unethical,53
Opposed,patrons,53
Opposed,expense,53
Opposed,given,53
Opposed,last,52
Opposed,taken,52
Opposed,potentially,52
Opposed,visit,52
Opposed,several,52
Opposed,sure,52
Opposed,influx,51
Opposed,safe,51
Opposed,feeds,51
Opposed,dangerous,51
Opposed,streets,51
Opposed,particularly,51
Opposed,physical,50
Opposed,detract,50
Opposed,risks,50
Opposed,culturally,50
Opposed,grab,50
Opposed,sports,50
Opposed,customers,50
Opposed,self,49
Opposed,compulsive,49
Opposed,losses,49
Opposed,proximity,49
Opposed,generating,49
Opposed,solution,49
Opposed,seem,49
Opposed,canadian,49
Opposed,council,49
Opposed,buildings,49
Opposed,ruined,49
Opposed,types,48
Opposed,full,48
Opposed,oppose,48
Opposed,centres,48
Opposed,required,48
Opposed,american,48
Opposed,companies,48
Opposed,disruption,48
Opposed,hotels,48
Opposed,paid,48
Opposed,broken,48
Opposed,driving,48
Opposed,bars,48
Opposed,supports,48
Opposed,responsible,47
Opposed,implications,47
Opposed,massive,47
Opposed,north,47
Opposed,distance,47
Opposed,growing,47
Opposed,middle,47
Opposed,sucks,47
Opposed,cheapens,47
Opposed,provincial,46
Opposed,beautiful,46
Opposed,placed,46
Opposed,mega,46
Opposed,providing,46
Opposed,ethical,46
Opposed,designed,46
Opposed,theatre,46
Opposed,track,46
Opposed,totally,46
Opposed,depression,46
Opposed,homes,46
Opposed,free,46
Opposed,operators,46
Opposed,country,45
Opposed,progressive,45
Opposed,preying,45
Opposed,hope,45
Opposed,true,45
Opposed,otherwise,45
Opposed,front,45
Opposed,probably,45
Opposed,suitable,45
Opposed,anyone,45
Opposed,individual,45
Opposed,serve,45
Opposed,habit,45
Opposed,range,45
Opposed,budget,44
Opposed,beneficial,44
Opposed,situation,44
Opposed,race,44
Opposed,destroying,44
Opposed,chance,44
Opposed,trouble,44
Opposed,produce,44
Opposed,friends,44
Opposed,landscape,44
Opposed,side,44
Opposed,international,44
Opposed,industries,44
Opposed,reasons,44
Opposed,vice,44
Opposed,thousands,44
Opposed,directly,43
Opposed,unique,43
Opposed,consider,43
Opposed,message,43
Opposed,history,43
Opposed,towards,43
Opposed,whatever,43
Opposed,education,43
Opposed,dealing,43
Opposed,main,43
Opposed,savings,43
Opposed,district,43
Opposed,provides,43
Opposed,wouldn,43
Opposed,ultimately,43
Opposed,addict,42
Opposed,mayor,42
Opposed,damaging,42
Opposed,draws,42
Opposed,belong,42
Opposed,stop,42
Opposed,grow,42
Opposed,corporations,42
Opposed,establishments,42
Opposed,lake,42
Opposed,attracted,42
Opposed,require,42
Opposed,invest,42
Opposed,irresponsible,41
Opposed,worried,41
Opposed,person,41
Opposed,diverse,41
Opposed,results,41
Opposed,desirable,41
Opposed,projections,41
Opposed,earned,41
Opposed,crowded,41
Opposed,extremely,41
